PF10417.8	20.40
PF12574.7	21.00
PF09847.8	33.20
PF00244.19	24.90
PF16998.4	26.60
PF00389.29	24.60
PF02826.18	25.10
PF00198.22	23.00
PF16078.4	27.00
PF04029.13	26.40
PF16620.4	25.00
PF05635.10	23.40
PF08521.9	22.00
PF08793.9	20.10
PF11591.7	25.00
PF01257.18	24.80
PF08975.9	21.00
PF03390.14	26.20
PF03171.19	21.30
PF13532.5	27.00
PF13640.5	27.00
PF13661.5	21.40
PF13759.5	27.00
PF10014.8	23.10
PF13239.5	24.80
PF13563.5	27.00
PF03475.13	22.70
PF06983.12	21.10
PF06052.11	20.40
PF12578.7	23.20
PF00803.17	25.00
PF01073.18	20.00
PF06725.10	23.80
PF02829.13	25.00
PF10605.8	27.00
PF00725.21	21.60
PF02737.17	22.00
PF16121.4	27.00
PF16122.4	25.00
PF04419.13	22.30
PF03061.21	20.60
PF13279.5	25.50
PF13622.5	27.00
PF12729.6	27.00
PF04476.12	21.20
PF05902.12	25.00
PF01812.19	20.90
PF06189.11	24.70
PF09038.9	20.50
PF03491.12	20.30
PF07694.11	22.90
PF01367.19	40.00
PF02739.15	34.20
PF05761.13	28.50
PF02872.17	23.60
PF02096.19	27.70
PF01591.17	21.70
PF00393.18	20.40
PF02495.16	21.10
PF02294.17	25.00
PF07698.10	29.40
PF07696.10	21.30
PF07695.10	27.50
PF07697.10	24.90
PF00001.20	23.80
PF00002.23	20.60
PF00003.21	28.50
PF13853.5	27.00
PF02949.19	25.80
PF08395.11	26.60
PF02117.15	20.90
PF10292.8	20.10
PF02175.15	21.70
PF10316.8	21.30
PF10317.8	22.80
PF10318.8	24.80
PF10327.8	20.60
PF10319.8	24.10
PF10320.8	20.40
PF10321.8	21.00
PF10322.8	26.00
PF10323.8	20.30
PF10324.8	21.50
PF10328.8	20.30
PF10325.8	21.30
PF10326.8	21.80
PF14402.5	25.00
PF17028.4	25.00
PF07388.10	24.50
PF07966.11	20.50
PF08792.9	22.90
PF00207.21	21.00
PF07678.13	20.50
PF01835.18	32.80
PF07703.13	22.70
PF07677.13	21.70
PF00004.28	20.80
PF09820.8	26.10
PF12846.6	27.50
PF13086.5	27.00
PF13087.5	27.00
PF13166.5	34.70
PF13173.5	27.00
PF13175.5	32.10
PF13191.5	32.60
PF13207.5	27.00
PF13238.5	29.40
PF13245.5	25.10
PF07724.13	20.60
PF13304.5	27.00
PF13401.5	27.00
PF13476.5	27.00
PF13479.5	27.00
PF13481.5	27.00
PF13500.5	27.00
PF13514.5	21.40
PF13521.5	27.00
PF13555.5	27.00
PF07726.10	21.10
PF13604.5	27.00
PF13614.5	27.00
PF13654.5	25.90
PF13671.5	27.00
PF13872.5	27.00
PF14516.5	27.00
PF07728.13	21.30
PF12774.6	21.30
PF12775.6	21.30
PF12780.6	22.90
PF12781.6	27.40
PF14363.5	26.40
PF16193.4	34.30
PF09821.8	21.30
PF08298.10	19.70
PF04611.11	25.00
PF03306.12	25.00
PF05282.10	23.40
PF08142.11	23.80
PF03417.15	23.20
PF07247.11	21.10
PF13339.5	24.70
PF00696.27	24.90
PF00324.20	22.60
PF13520.5	27.00
PF13906.5	27.00
PF08403.9	21.00
PF06684.10	20.00
PF01490.17	21.60
PF07336.10	24.40
PF12430.7	22.10
PF02496.15	25.00
PF14156.5	27.00
PF00950.16	19.80
PF03109.15	20.60
PF01061.23	26.90
PF12679.6	26.80
PF12698.6	31.60
PF12730.6	27.00
PF13346.5	24.40
PF06182.10	22.00
PF09818.8	19.30
PF09819.8	23.50
PF16962.4	29.70
PF00664.22	28.00
PF06472.14	24.40
PF13748.5	27.00
PF04392.11	23.90
PF00005.26	23.10
PF09822.8	30.40
PF03886.12	21.00
PF06541.10	25.90
PF14510.5	25.40
PF16949.4	25.70
PF16326.4	32.00
PF12848.6	24.50
PF12407.7	25.00
PF05270.12	21.30
PF03806.12	19.60
PF00561.19	25.80
PF02230.15	23.00
PF07859.12	21.50
PF08386.9	21.00
PF12695.6	27.00
PF12697.6	26.30
PF12715.6	20.70
PF06259.11	20.50
PF10081.8	26.00
PF15420.5	27.00
PF04083.15	21.50
PF02517.15	21.00
PF08843.10	20.60
PF09407.9	22.20
PF09952.8	20.10
PF11459.7	26.00
PF17194.3	26.00
PF13338.5	25.00
PF10899.7	22.40
PF16873.4	25.00
PF14253.5	25.20
PF07751.10	21.40
PF14355.5	24.00
PF07815.13	19.60
PF16182.4	29.00
PF03992.15	23.10
PF09441.9	25.00
PF05145.11	27.10
PF14250.5	25.00
PF07280.10	25.00
PF05814.10	22.50
PF05820.10	25.00
PF16177.4	27.00
PF13000.6	23.70
PF00887.18	28.30
PF03255.13	21.30
PF08326.11	23.20
PF13822.5	25.00
PF16671.4	27.00
PF14733.5	25.00
PF06315.10	22.20
PF00871.16	22.00
PF09290.10	26.60
PF08882.10	20.80
PF02550.14	20.70
PF13336.5	23.20
PF00583.24	20.70
PF13673.6	23.60
PF13720.5	24.50
PF13880.5	22.60
PF03421.15	22.60
PF17013.4	35.00
PF05301.10	21.20
PF00797.16	21.00
PF13302.6	25.40
PF13420.6	24.30
PF13444.5	22.40
PF13480.6	22.00
PF13508.6	27.00
PF13523.5	27.00
PF13527.6	25.00
PF14542.5	30.00
PF08674.9	25.00
PF15270.5	27.00
PF03767.13	27.00
PF12689.6	27.00
PF05054.11	25.00
PF00330.19	25.30
PF06434.12	20.50
PF11791.7	25.80
PF00694.18	22.80
PF01756.18	21.90
PF06857.10	25.10
PF05777.11	25.00
PF06313.10	25.00
PF01648.19	21.10
PF04336.11	21.40
PF08545.9	20.60
PF08541.9	22.30
PF10766.8	25.00
PF00873.18	28.00
PF01842.24	27.00
PF09192.9	24.00
PF05058.11	23.80
PF16102.4	27.00
PF00976.17	27.00
PF00022.18	20.90
PF14408.5	25.00
PF17003.4	27.00
PF11657.7	23.10
PF11498.7	23.30
PF01064.22	20.90
PF16840.4	27.00
PF10000.8	25.00
PF13291.5	27.00
PF13710.5	27.00
PF13740.5	23.00
PF13840.5	27.00
PF01643.16	20.30
PF00441.23	20.50
PF08028.10	22.00
PF12806.6	30.30
PF02770.18	33.30
PF02771.15	21.20
